TYPE,START DATE,END DATE,USAGE (kWh),COST,NOTES
Electric billing,2022-08-31,2022-09-20,680.00,$98.82
Electric billing,2022-09-21,2022-10-19,403.00,$58.26
Electric billing,2022-10-20,2022-11-17,339.00,$51.22
Electric billing,2022-11-18,2022-12-20,619.00,$92.74
Electric billing,2022-12-21,2023-01-23,682.00,$101.82
Electric billing,2023-01-24,2023-02-21,563.00,$89.92
Electric billing,2023-02-22,2023-03-21,627.00,$115.31
Electric billing,2023-03-23,2023-04-20,476.00,$86.18
Electric billing,2023-04-21,2023-05-21,358.00,$72.19
Electric billing,2023-05-22,2023-06-20,497.00,$87.00
Electric billing,2023-06-21,2023-07-20,777.00,$124.04
Electric billing,2023-07-21,2023-08-20,804.00,$121.48
Electric billing,2023-08-21,2023-09-19,552.00,$91.40
Electric billing,2023-09-20,2023-10-18,297.00,$54.97
Electric billing,2023-10-19,2023-11-16,305.00,$57.55
Electric billing,2023-11-17,2023-12-19,762.00,$119.98
Electric billing,2023-12-20,2024-01-22,916.00,$155.33
Electric billing,2024-01-23,2024-02-27,901.00,$156.25
Electric billing,2024-02-28,2024-03-25,701.00,$124.93
Electric billing,2024-03-27,2024-04-24,644.00,$116.65
Electric billing,2024-04-25,2024-05-23,643.00,$122.45
Electric billing,2024-05-24,2024-06-24,984.00,$161.29
Electric billing,2024-06-25,2024-07-24,747.00,$123.97
Electric billing,2024-07-25,2024-08-22,989.00,$158.93
Electric billing,2024-08-23,2024-09-23,911.00,$148.26
Electric billing,2024-09-24,2024-10-22,734.00,$111.13
