TYPE,DATE,START TIME,END TIME,USAGE (kWh),COST,NOTES
Electric usage,2024-08-30,00:00,00:29,0.66,$0.09
Electric usage,2024-08-30,00:30,00:59,0.69,$0.09
Electric usage,2024-08-30,01:00,01:29,1.16,$0.16
Electric usage,2024-08-30,01:30,01:59,0.95,$0.13
Electric usage,2024-08-30,02:00,02:29,0.87,$0.12
Electric usage,2024-08-30,02:30,02:59,0.64,$0.09
Electric usage,2024-08-30,03:00,03:29,1.46,$0.20
Electric usage,2024-08-30,03:30,03:59,0.61,$0.08
Electric usage,2024-08-30,04:00,04:29,0.64,$0.09
Electric usage,2024-08-30,04:30,04:59,0.85,$0.12
Electric usage,2024-08-30,05:00,05:29,1.28,$0.17
Electric usage,2024-08-30,05:30,05:59,0.87,$0.12
Electric usage,2024-08-30,06:00,06:29,0.59,$0.08
Electric usage,2024-08-30,06:30,06:59,0.35,$0.05
Electric usage,2024-08-30,07:00,07:29,0.73,$0.10
Electric usage,2024-08-30,07:30,07:59,0.22,$0.03
Electric usage,2024-08-30,08:00,08:29,0.60,$0.08
Electric usage,2024-08-30,08:30,08:59,0.61,$0.08
Electric usage,2024-08-30,09:00,09:29,0.37,$0.05
Electric usage,2024-08-30,09:30,09:59,1.11,$0.15
Electric usage,2024-08-30,10:00,10:29,1.34,$0.18
Electric usage,2024-08-30,10:30,10:59,0.67,$0.09
Electric usage,2024-08-30,11:00,11:29,1.09,$0.15
Electric usage,2024-08-30,11:30,11:59,0.18,$0.02
Electric usage,2024-08-30,12:00,12:29,1.30,$0.18
Electric usage,2024-08-30,12:30,12:59,1.36,$0.19
Electric usage,2024-08-30,13:00,13:29,0.66,$0.09
Electric usage,2024-08-30,13:30,13:59,0.65,$0.09
Electric usage,2024-08-30,14:00,14:29,0.10,$0.01
Electric usage,2024-08-30,14:30,14:59,0.12,$0.02
Electric usage,2024-08-30,15:00,15:29,0.09,$0.01
Electric usage,2024-08-30,15:30,15:59,0.11,$0.02
Electric usage,2024-08-30,16:00,16:29,0.11,$0.01
Electric usage,2024-08-30,16:30,16:59,0.10,$0.01
Electric usage,2024-08-30,17:00,17:29,0.13,$0.02
Electric usage,2024-08-30,17:30,17:59,0.09,$0.01
Electric usage,2024-08-30,18:00,18:29,0.11,$0.01
Electric usage,2024-08-30,18:30,18:59,0.10,$0.01
Electric usage,2024-08-30,19:00,19:29,0.10,$0.01
Electric usage,2024-08-30,19:30,19:59,0.11,$0.01
Electric usage,2024-08-30,20:00,20:29,0.08,$0.01
Electric usage,2024-08-30,20:30,20:59,0.10,$0.01
Electric usage,2024-08-30,21:00,21:29,0.11,$0.02
Electric usage,2024-08-30,21:30,21:59,0.09,$0.01
Electric usage,2024-08-30,22:00,22:29,0.09,$0.01
Electric usage,2024-08-30,22:30,22:59,0.10,$0.01
Electric usage,2024-08-30,23:00,23:29,0.09,$0.01
Electric usage,2024-08-30,23:30,23:59,0.16,$0.02
Electric usage,2024-08-31,00:00,00:29,0.17,$0.02
Electric usage,2024-08-31,00:30,00:59,0.12,$0.02
Electric usage,2024-08-31,01:00,01:29,0.09,$0.01
Electric usage,2024-08-31,01:30,01:59,0.08,$0.01
Electric usage,2024-08-31,02:00,02:29,0.11,$0.01
Electric usage,2024-08-31,02:30,02:59,0.09,$0.01
Electric usage,2024-08-31,03:00,03:29,0.09,$0.01
Electric usage,2024-08-31,03:30,03:59,0.08,$0.01
Electric usage,2024-08-31,04:00,04:29,0.09,$0.01
Electric usage,2024-08-31,04:30,04:59,0.09,$0.01
Electric usage,2024-08-31,05:00,05:29,0.09,$0.01
Electric usage,2024-08-31,05:30,05:59,0.09,$0.01
Electric usage,2024-08-31,06:00,06:29,0.09,$0.01
Electric usage,2024-08-31,06:30,06:59,0.08,$0.01
Electric usage,2024-08-31,07:00,07:29,0.09,$0.01
Electric usage,2024-08-31,07:30,07:59,0.09,$0.01
Electric usage,2024-08-31,08:00,08:29,0.09,$0.01
Electric usage,2024-08-31,08:30,08:59,0.08,$0.01
Electric usage,2024-08-31,09:00,09:29,0.08,$0.01
Electric usage,2024-08-31,09:30,09:59,0.08,$0.01
Electric usage,2024-08-31,10:00,10:29,0.09,$0.01
Electric usage,2024-08-31,10:30,10:59,0.09,$0.01
